ticker,momentum_score,12m_return,z_score,mean_momentum,std_momentum
BAC,2.0072930969346228,0.4846356355085382,1.0072930969346225,0.11873322040305319,0.36325317449210476
BAX,1.1418247612863195,-0.1381148135599916,0.14182476128631946,-0.16182622279339154,0.16718807786695813
BDX,0.5606012627971796,-0.0258463527068646,-0.7837990499885671,0.02983210221529486,0.07103664507244761
BRK-B,1.6466264872807859,0.29064411120876626,0.6466264872807858,0.18565252571517485,0.16236821033283894
BBY,2.228215084155931,0.22624636952342395,1.2282150841559312,-0.030377180263054426,0.20894023619880742
TECH,0.7833000763643828,-0.051991193152612906,-0.27664994575439134,0.06028885775603821,0.4058560380428662
BIIB,0.5141657711037269,-0.2411187218302351,-0.9448980391156027,0.0030039906451170243,0.25835878832370524
BLK,1.353505571486106,0.2067073930562577,0.3535055714861059,0.10752436092858146,0.28056992626939264
BX,1.159522776195104,0.4509568031141006,0.1595227761951039,0.363001175293829,0.5513672086091184
XYZ,1.2459512031119133,0.061102872639517865,0.24595120311191326,-0.08257449585472959,0.5841702202565403
BK,2.5256086477791353,0.5346196626120547,1.525608647779135,0.13534598490766256,0.26171435137420357
BA,0.5928920864956996,-0.13655807853491886,-0.6866475751270689,0.09057755058795734,0.33078923941563937
BKNG,2.085490585948107,0.5091116022457233,1.085490585948107,0.20367035045062695,0.28138544520707454
BSX,3.1184265426159583,0.46794872507377266,2.1184265426159583,0.15594342464127714,0.14728162348608648
BMY,0.35559667326541194,-0.3349698103782787,-1.812174790098824,0.0118676427083473,0.19139293570445914
AVGO,1.6694218815471626,0.676843340579247,0.6694218815471626,0.4314038932903367,0.3666438968526881
BR,2.33213574831589,0.39179958240739826,1.3321357483158902,0.1301151564276747,0.19643975946937062
BRO,2.2656499988675174,0.44612539971891585,1.2656499988675176,0.19462196704901716,0.19871483656219316
BF-B,0.32908387655406857,-0.24706369211188436,-2.038738969746212,-0.03933912087504114,0.10188875295923802
BLDR,0.6247396957811089,0.3867183917038508,-0.6006666564539413,0.6616652046747817,0.45773610040898555
BG,0.8065179244353412,0.1927217416016443,-0.23989804777137397,0.2732138856859169,0.33552646564670136
BXP,2.1158550609838622,0.3291085131142814,1.1158550609838624,-0.010944358069348917,0.30474645236075887
CHRW,0.6846966618638485,-0.059837121501233353,-0.460500767270937,0.007988994606376946,0.14728773745496196
CDNS,0.7893062582505732,0.23992028503689772,-0.26693534929826934,0.2923611347839836,0.19645524612961368
