Date,Our Portfolio,S&P 500,SPESG
2023-03-23,172.85428193524126,110.99579842659224,114.55216664653693
2023-03-24,176.6773570695359,111.62179333562267,115.16180421182021
2023-03-27,177.650200597809,111.80562932877211,115.28372971356869
2023-03-28,179.04519428461532,111.62966476626856,115.08271957426246
2023-03-29,180.73981036083802,113.21896631851193,116.7501543930441
2023-03-30,181.58364120934897,113.86604321092875,117.42899101619044
2023-03-31,183.32325467374613,115.50987517983502,119.02392823169721
2023-04-03,184.62703681637933,115.93712847464981,119.64015283126335
2023-04-04,184.01451601242513,115.26504417746084,118.93824650331572
2023-04-05,186.47171718397556,114.97776097807221,118.67462434042932
2023-04-06,185.65373621199427,115.38928513684483,119.21505279130872
2023-04-10,186.85180976401188,115.50424782749884,119.18210756335358
2023-04-11,186.71201375733554,115.49947144063788,118.98767440178932
2023-04-12,186.8204142364322,115.02189451816275,118.52962913387957
2023-04-13,187.95949657286081,116.54739424763807,120.19706395266118
2023-04-14,186.96387690190215,116.30621416165764,120.06854136008897
2023-04-17,186.57813757468068,116.69074075446599,120.27944713563082
2023-04-18,186.17435502891203,116.79053704431142,120.40796972820303
2023-04-19,185.5520677678709,116.78069604034782,120.45080053585286
2023-04-20,185.46388500605244,116.08555332382994,119.84117302711046
2023-04-21,186.03028769132627,116.19040050552837,119.9400288240576
2023-04-24,187.51604689556711,116.28934582989856,119.96968556314175
2023-04-25,187.0904603396083,114.45071139341204,118.03203149064998
2023-04-26,184.36408380603768,114.01108478608235,117.97271801248168
2023-04-27,186.40252576228022,116.24184274103114,120.2530889419585
2023-04-28,186.45064982829257,117.20121023760875,121.20873185309782
2023-05-01,185.05285271183064,117.1559580896758,121.17907511401367
2023-05-02,182.97537602628228,115.79855835468291,119.85434709567618
2023-05-03,181.35721207713559,114.98816471726943,118.99427149261308
2023-05-04,180.8230245877152,114.1580959345536,118.20668343628398
2023-05-05,184.09211460779358,116.2671383760449,120.63204957231058
2023-05-08,182.66617100385199,116.31970608201492,120.74079094895247
2023-05-09,185.52790069196686,115.78702914501848,120.12786489479821
2023-05-10,185.21513354188417,116.3062141616576,120.80010442712077
2023-05-11,185.90647910507732,116.10888624815085,120.65182073170003
2023-05-12,185.95746573720191,115.92505025500137,120.36841735288331
2023-05-15,186.8435107611766,116.26797561627053,120.7045471755855
2023-05-16,185.7502680687929,115.52645528135248,120.01911346161545
2023-05-17,186.46620936336313,116.90016061287079,121.45916989087766
2023-05-18,186.1003870377933,118.00428831698513,122.63231566838253
2023-05-19,185.38849636176923,117.833669739201,122.40822576773411
2023-05-22,184.932749041618,117.85193804641929,122.44447959764202
2023-05-23,184.07346788708014,116.52940044541175,121.05713955572432
2023-05-24,183.79437729918888,115.67656833623343,120.14433750877575
2023-05-25,183.58831935104675,116.6896152839987,121.38667228760276
2023-05-26,183.64352326604023,118.21230819993072,122.99809217362794
2023-05-30,182.2982283974092,118.2142709106236,123.02445036730023
2023-05-31,183.9159148407357,117.49214435339108,122.18084737821468
2023-06-01,183.74646769078964,118.64996523394271,123.5418191699192
2023-06-02,186.29374156763686,120.37447422000089,125.29823426249418
2023-06-05,186.46786320449988,120.13329413402045,125.09062703236422
2023-06-06,186.06417465864274,120.4160754515401,125.33447803586117
2023-06-07,187.06136437524378,119.95704820390007,124.61609909393599
2023-06-08,189.7195066666808,120.69941950429333,125.48935882210569
2023-06-09,190.23441324885692,120.83798962426025,125.71673721162509
2023-06-12,191.52462391216304,121.96433850747788,126.8734003186115
2023-06-13,191.73050472715462,122.80985505861912,127.7895009109719
2023-06-14,190.9682800043963,122.91048858869019,127.88505816250722
2023-06-15,192.57462100023494,124.40730940912519,129.39432370617337
2023-06-16,192.58992758379435,123.95053310241968,128.9033231537676
