ticker,price_m2,actual_date_m2,momentum_value_12m,volatility_12m,risk_adj_momentum_12m,price_m14,actual_date_m14,trading_days_12m,momentum_value,volatility,risk_adj_momentum,momentum_value_6m,volatility_6m,risk_adj_momentum_6m,price_m8,actual_date_m8,trading_days_6m
APD,290.272216796875,2025-09-02,0.07386936029308089,0.0160251522210069,4.609588681238717,270.3049621582031,2024-08-30,251,0.07386936029308089,0.0160251522210069,4.609588681238717,-0.06420438423852748,0.01700277579661425,-3.7761119129332075,310.1876220703125,2025-02-28,128
ABNB,127.58999633789062,2025-09-02,0.08763105441343355,0.02507550926566434,3.494686926794581,117.30999755859375,2024-08-30,251,0.08763105441343355,0.02507550926566434,3.494686926794581,-0.08122704094414401,0.026113002028278928,-3.1105975810892845,138.8699951171875,2025-02-28,128
AKAM,76.9800033569336,2025-09-02,-0.24410834519745184,0.025838233333690865,-9.447563308407593,101.83999633789062,2024-08-30,251,-0.24410834519745184,0.025838233333690865,-9.447563308407593,-0.04586015039968738,0.023886297019152115,-1.9199355330345493,80.68000030517578,2025-02-28,128
ALB,79.11077117919922,2025-09-02,-0.10030157386381833,0.038170021616100405,-2.6277578480990527,87.9303207397461,2024-08-30,251,-0.10030157386381833,0.038170021616100405,-2.6277578480990527,0.045168332344194484,0.04254848569480112,1.0615732054058382,75.69189453125,2025-02-28,128
ARE,79.64488983154297,2025-09-02,-0.28402994433874407,0.018971027156162605,-14.971774696262502,111.24053192138672,2024-08-30,251,-0.28402994433874407,0.018971027156162605,-14.971774696262502,-0.1830051829853827,0.02209629001415778,-8.282167860221133,97.48518371582031,2025-02-28,128
ALGN,137.16000366210938,2025-09-02,-0.4218025336974036,0.034043938066949504,-12.389945395503391,237.22000122070312,2024-08-30,251,-0.4218025336974036,0.034043938066949504,-12.389945395503391,-0.2666416908660527,0.0424665341820219,-6.278866312074387,187.02999877929688,2025-02-28,128
ALLE,167.99000549316406,2025-09-02,0.22776660843840002,0.015649824318940103,14.553940274124797,136.82568359375,2024-08-30,251,0.22776660843840002,0.015649824318940103,14.553940274124797,0.31536716717494095,0.018397553844861452,17.14179884099238,127.71339416503906,2025-02-28,128
LNT,64.17740631103516,2025-09-02,0.14666757180200785,0.01214369537316852,12.077672182560645,55.968624114990234,2024-08-30,251,0.14666757180200785,0.01214369537316852,12.077672182560645,0.018271200655035624,0.01259354977533298,1.4508380068361244,63.025848388671875,2025-02-28,128
ALL,203.33999633789062,2025-09-02,0.09703445418994194,0.01638759289666463,5.921214592149856,185.354248046875,2024-08-30,251,0.09703445418994194,0.01638759289666463,5.921214592149856,0.03619270877030978,0.017687606194756737,2.046218599158921,196.2376251220703,2025-02-28,128
GOOGL,211.16114807128906,2025-09-02,0.2998762743358294,0.01961581528485976,15.287474416996854,162.44711303710938,2024-08-30,251,0.2998762743358294,0.01961581528485976,15.287474416996854,0.24412496218490976,0.020544967940185746,11.882469853233689,169.7266387939453,2025-02-28,128
GOOG,211.8007049560547,2025-09-02,0.29009586374917484,0.01941567008633265,14.941326385298604,164.1743927001953,2024-08-30,251,0.29009586374917484,0.01941567008633265,14.941326385298604,0.23380923107336282,0.020414296462858687,11.453210327318901,171.6640625,2025-02-28,128
MO,66.06236267089844,2025-09-02,0.3440344786051599,0.012320142700168674,27.924553065481113,49.15228271484375,2024-08-30,251,0.3440344786051599,0.012320142700168674,27.924553065481113,0.24484860238708483,0.01237969835514444,19.778236542034715,53.0685920715332,2025-02-28,128
