ticker,avg_esg_score,count,std
NRG,3.4,3,0.5292
NSC,6.3333,3,0.5508
NTAP,8.6667,3,1.1547
NTRS,6.4667,3,0.9074
NUE,7.9333,3,0.6028
NVDA,8.8,3,1.3748
NVR,6.0667,3,0.1155
NWS,4.8333,3,0.9609
NWSA,4.8333,3,0.9609
NXPI,9.8,3,0.3464
O,4.0333,3,1.1015
ODFL,7.1,3,1.0583
OKE,8.8667,3,0.5132
OMC,4.3333,3,1.193
ON,6.5,3,0.4359
ORCL,6.9,3,0.2646
ORLY,5.3333,3,1.464
OTIS,6.4,3,0.3
OXY,6.2333,3,0.2887
PANW,8.5333,3,1.2858
PAYC,6.9333,3,0.4163
PAYX,7.6,3,0.5196
PCAR,5.6,3,0.7937
PCG,4.68,3,0.7108
PEG,8.5333,3,0.6658
PEP,6.7,3,1.9
PFE,6.0667,3,0.8737
PFG,6.8333,3,1.1015
PG,7.0333,3,0.3055
PGR,7.5333,3,1.893
PH,5.8667,3,0.9074
PHM,7.1333,3,0.5686
PKG,3.8333,3,1.1846
PLD,6.6667,3,0.9074
PLTR,2.8,3,0.4583
PM,4.6667,3,0.4726
PNC,7.9333,3,0.3055
PNR,9.9,3,0.1732
PODD,7.1,3,0.2646
POOL,8.0,3,0.2646
PPG,8.6333,3,0.2082
PPL,5.7667,3,1.5144
PRU,8.8333,3,0.4619
PSX,7.4667,3,0.5132
PTC,8.3667,3,0.0577
PWR,7.5667,3,0.8021
PYPL,6.7333,3,0.8083
QCOM,6.9,3,0.0
RCL,4.2667,3,1.0066
REG,7.1,3,0.3606
REGN,6.9,3,0.1732
RF,7.1,3,0.7
RJF,7.5,3,1.249
RMD,6.4333,3,0.4509
ROK,7.5333,3,0.3215
ROL,4.9333,3,0.5508
ROP,6.1,3,0.4
ROST,4.7667,3,0.3786
RSG,6.0,3,0.2646
RTX,6.3333,3,0.9074
RVTY,7.6667,3,1.5567
SBAC,8.4333,3,0.3512
SBUX,6.2667,3,0.4041
SCHW,5.3333,3,0.3055
SHW,6.7,3,0.5292
SJM,6.9,3,0.6557
SLB,7.2,3,0.6
SMCI,1.9667,3,0.8505
SNA,5.1667,3,0.4163
SNPS,8.7667,3,0.9074
SO,6.1667,3,0.6351
SPG,4.4333,3,0.2517
SPGI,8.1333,3,0.7371
SRE,6.5,3,0.755
STE,9.3333,3,0.7638
STLD,7.9333,3,0.1155
STT,7.9667,3,0.8622
STX,8.0333,3,0.3512
STZ,6.1667,3,1.0408
SW,7.05,2,0.3536
SYF,7.9333,3,0.6028
SYK,6.0333,3,0.6506
SYY,6.8333,3,0.2082
T,4.8333,3,0.2887
TAP,9.1333,3,0.4041
TDG,3.4333,3,0.5033
TDY,6.1667,3,0.0577
TEL,6.9,2,0.2828
TER,6.1333,3,1.159
TFC,6.3,3,1.1269
TGT,7.9,3,0.6083
TJX,6.1,3,0.1
TMO,4.3333,3,0.9238
TMUS,3.5333,3,0.4619
TPL,6.0,3,1.9672
TPR,7.4333,3,0.9452
TRGP,8.4333,3,0.1155
TRMB,8.1333,3,0.6351
TROW,7.0333,3,1.5535
TRV,7.3,3,0.8888
TSCO,9.5,3,0.866
TSLA,5.4667,3,0.7506
TSN,5.0667,3,0.7506
TT,10.0,3,0.0
TTD,3.3333,3,0.8327
TTWO,6.2333,3,0.3512
TXN,9.2667,3,1.2702
TXT,5.9,3,0.5292
TYL,6.9,3,1.4526
UAL,4.5333,3,1.222
UBER,6.8333,3,1.3051
UDR,3.6333,3,0.6028
UHS,0.2333,3,0.4041
ULTA,8.1333,3,0.1528
UNH,6.4,3,1.9313
UNP,7.2333,3,0.7371
UPS,6.2,3,1.5588
URI,7.9667,3,0.4726
USB,6.9667,3,0.7506
V,7.5667,3,0.4509
VICI,6.2,3,1.253
VLO,7.1333,3,0.4509
VLTO,9.85,2,0.2121
VMC,6.8,3,0.5196
VRSK,6.9667,3,1.0066
VRSN,6.9333,3,1.2858
VRTX,7.6,3,1.0392
VST,4.3667,3,0.2887
VTR,5.5,3,0.6928
VZ,6.7667,3,0.5132
WAB,5.8,3,0.4583
WAT,9.4333,3,0.5132
WBD,5.3667,3,0.5774
WDAY,8.7333,3,0.7095
WDC,8.8,3,1.044
WEC,6.9667,3,0.4619
WELL,7.5,3,0.3606
WFC,3.8667,3,1.4224
WM,5.4333,3,0.8145
WMB,7.8,3,0.8888
WMT,4.9667,3,0.5508
WRB,4.7,3,1.7776
WSM,10.0,3,0.0
WST,8.1,3,0.3464
WTW,7.4333,3,0.8083
WY,7.6,3,0.0
XEL,7.8,3,0.2
XOM,4.3,3,0.2
XYL,9.1333,3,0.1155
XYZ,3.4333,3,0.1528
YUM,5.7667,3,0.9815
ZBH,7.5333,3,0.9074
ZBRA,6.6667,3,0.3215
ZTS,10.0,3,0.0
