ticker,momentum_score
AME,1.0877883655916434
FITB,1.0807251251605263
ALL,1.077619035158947
ETN,1.0727516257140461
DDOG,1.0672292234277583
SNPS,1.0510070999984429
LUV,1.045573273693621
GNRC,1.0383884210582732
K,1.0176180029956776
AIG,1.0156097300416056
PNW,1.0104679079981567
TFC,1.0061520942482056
SYY,0.9857667561196495
APD,0.9827462753019911
KKR,0.975539239247907
XYZ,0.9702478519026667
HUBB,0.9689619772427505
ITW,0.966876203605435
HON,0.9646678976885313
BRK-B,0.9624224717255856
VICI,0.9614691967598337
PAYX,0.9611029328973867
SPGI,0.9580596104061686
COST,0.9570807345419368
LOW,0.9463455977584374
USB,0.9435240487118206
TDG,0.942011478196923
STLD,0.9374891407508248
PCAR,0.9333137073927746
APTV,0.9295790105717989
MET,0.9283731162834508
