Date,MCK,EME,COR,WMB,PWR,CAH,GS,ANET,WELL,BK,STX,MS,KMI,AXP,WDC,TPR,RJF,JCI,GILD,AXON,EQT,WSM,NDAQ,NI,CBRE
2023-07-31,398.07611083984375,213.84234619140625,182.88079833984375,31.315828323364258,201.00843811035156,87.94667053222656,336.59857177734375,38.772499084472656,77.74567413330078,42.69041442871094,59.53303909301758,84.89827728271484,15.746020317077637,164.42764282226562,32.072147369384766,40.48651123046875,106.59956359863281,66.66458892822266,70.29605865478516,185.92999267578125,40.646278381347656,66.8019790649414,48.92205810546875,25.865549087524414,83.30999755859375
2023-08-01,400.6679382324219,213.18601989746094,185.0334930419922,30.997669219970703,201.27761840820312,88.1101303100586,338.348388671875,46.40250015258789,80.0643081665039,42.5021858215332,61.23933410644531,84.3233871459961,15.612655639648438,165.17733764648438,32.30575942993164,40.20502853393555,106.03784942626953,67.12467956542969,69.8713607788086,183.3300018310547,40.15482711791992,66.71526336669922,48.67982864379883,25.53108024597168,83.01000213623047
2023-08-02,408.6315002441406,214.97596740722656,187.3133544921875,30.615882873535156,201.7063446044922,89.50426483154297,332.0869140625,44.31999969482422,79.08953857421875,42.56806182861328,60.94870376586914,82.82125091552734,15.434833526611328,162.35379028320312,31.96664810180664,39.435638427734375,105.13716888427734,60.91351318359375,69.8713607788086,178.02000427246094,39.37427520751953,66.58032989501953,48.12751388549805,25.744766235351562,83.43000030517578
2023-08-03,430.444580078125,214.04124450683594,187.244873046875,31.306737899780273,202.7232208251953,90.15807342529297,334.03533935546875,44.439998626708984,79.29773712158203,42.878639221191406,64.01441955566406,82.65435791015625,15.52374267578125,162.02273559570312,32.59965133666992,40.345760345458984,106.19279479980469,59.466156005859375,69.73287963867188,177.10000610351562,40.212642669677734,68.37278747558594,47.846527099609375,25.038671493530273,83.61000061035156
2023-08-04,417.23797607421875,215.672119140625,181.34454345703125,31.234018325805664,199.67247009277344,87.73513793945312,334.092041015625,44.900001525878906,77.96333312988281,42.71864318847656,62.61750411987305,82.32982635498047,15.434833526611328,161.0491180419922,32.742828369140625,39.482547760009766,104.43988037109375,60.15628433227539,72.64111328125,180.86000061035156,40.280094146728516,67.13927459716797,47.914363861083984,24.629871368408203,83.91999816894531
2023-08-07,417.6930847167969,219.55039978027344,182.5676727294922,31.334016799926758,201.50692749023438,88.66778564453125,336.30535888671875,44.817501068115234,80.2441177368164,43.60332107543945,64.23004913330078,82.59871673583984,15.452614784240723,162.55825805664062,32.78050994873047,39.77341842651367,105.50519561767578,59.97417068481445,74.47836303710938,179.6699981689453,40.61736297607422,67.24526977539062,48.4472770690918,24.77852439880371,84.94000244140625
2023-08-08,423.13397216796875,219.94815063476562,181.38368225097656,31.66126251220703,202.0851593017578,88.22549438476562,329.400634765625,45.11249923706055,80.71733093261719,43.029232025146484,62.87063217163086,82.03309631347656,15.541524887084961,161.49697875976562,32.5242919921875,39.03218460083008,104.89505767822266,58.83353805541992,73.93366241455078,175.72999572753906,41.497413635253906,67.2500991821289,48.48603820800781,24.84355926513672,85.05000305175781
2023-08-09,423.7373962402344,215.79141235351562,181.71640014648438,32.0521354675293,202.8229522705078,88.42741394042969,324.13232421875,44.3650016784668,80.88766479492188,42.605709075927734,62.68313217163086,81.18929290771484,15.603761672973633,159.50103759765625,32.08721923828125,38.69440841674805,103.04528045654297,58.076316833496094,74.0167465209961,200.44000244140625,42.599884033203125,66.10813903808594,48.89299392700195,25.066539764404297,84.08000183105469
2023-08-10,429.32666015625,218.66534423828125,183.4871826171875,31.870338439941406,199.82203674316406,88.78315734863281,321.96630859375,44.07500076293945,80.39554595947266,43.18921661376953,62.95500564575195,81.26348114013672,15.59487247467041,159.2283935546875,31.763181686401367,32.52994918823242,103.18084716796875,57.184898376464844,73.85979461669922,204.1199951171875,41.38136672973633,65.34683227539062,49.91038131713867,24.834266662597656,84.30000305175781
2023-08-11,435.3314208984375,219.7393341064453,183.8207244873047,32.161224365234375,199.56283569335938,88.82160949707031,322.2784729003906,43.73500061035156,79.74254608154297,43.302154541015625,62.67375183105469,81.31912231445312,15.808258056640625,160.91281127929688,31.559717178344727,32.95216751098633,104.07185363769531,56.92609405517578,73.85979461669922,211.22999572753906,41.6328010559082,64.62890625,49.377464294433594,24.92717933654785,84.52999877929688
